location,title,salary_range,description,requirements,benefits,fraudulent
,Business Development International (m/f),,"in Bielefeld (Germany) or remote – The position is open from nowYou are passionate about QR-Codes, smartphones, the mobile web, marketing, sales and business strategy helping us to grow our company? in Bielefeld (Germany)  Come on board and discover and conquer new markets with usWho we areWe are one of the leading QR Code services, providing our customers around the globe with a free QR Code Generator and a QR Code Marketing Software for creating mobile campaigns. We want to make QR Codes exciting to users and we dedicate all our resources into that vision.What we are looking forAs a Business Developer you work in the intersection of Marketing and Sales. Your job is to help us grow our company in your dedicated markets by improving and executing the current strategy. But more importantly by finding and executing new ways to reach potential customers through various marketing and sales channels. You need to be brilliant and experienced in marketing and selling web based products internationaly. You will manage a dedicated market and therefore you need to be native speaker of one of the following languages + fluent in english.","Your jobDiscovering and executing opportunities for Marketing, PR and SalesCreate partnerships going from first contact to striking a dealOrganisation and execution of trade fairsAnalyse customer behaviour and survey customer needsDistribution of our affiliate-programMarket analysisYou report directly to the management and work very close with themAnalyze and help define product-development related business opportunitiesWork cross-functionally with product, business development, marketing, legal and other internal organizations to forge, support and manage partnershipsProfitable management of existing customersDay to day operations and customer support via phone and email e.g. advice for product selectionYour profileAt least Bachelor’s degree preferably media or communication studies, business management or business informatics2+ years work experience in a similar business (IT-Software is a plus)Native speaker of one of the following languages + fluent in english: French, Spanish, Polish, Italian, Dutch, Russian, Turkish, Portuguese, Greek, Swedish, Romanian, Finnish, Norwegian, Danish, Hungarian, Chinese, JapaneseMarketing oriented and solution-oriented thinking, self-dependent and analytic working style including a high level of customer orientationCommunicative person with a kind and professional voice plus figurative language and ability to express complex things in a simple written languageHigh interest in internet and mobile marketing","We offerPossibility of advancement of your personal and professional skills in an innovative and fast-growing company with scope of designCollaboration in a young, dynamic and motivated team with a flat hierarchyA great place to work in the heart of Bielefeld, Germany or from wherever you want to in the world (remote)Enjoy a leisure room with table-tennis, gaming, fully furnished kitchen and balconyAttend national and international business and web conferencesAre you ready for this new challenge?Send us your application which includes a cover letter, curriculum vitae, desired salary and date of joining the company to#EMAIL_70bb2402d17231eba9d13883ec57ac5fb2b9ea70b0cf2bd81e544a6d5f3a29d1#You can’t match all required skills but you think you can learn fast and make up the deficit at work and free time? Please apply as well.Are you ready for this new challenge?Give us a call at +49 (0) 521 – 44 81 44 – 0 or write us an email.",0
"US, AZ, Phoenix","Coating Specialist (Phoenix, AZ)",,"Position available is located in our Phoenix, AZ location.Responsible to assist and supply customers with the finest cabinet coatings available in a safe and timely manner ensuring the reputation of being the First Choice in Quality and Service.","Essential Job FunctionsResponsible to know and comply with all Company policies and procedures including safety and fleet safety policies and proceduresTo evaluate and formulate custom stains and pigmented coating systemsProvide support and technical application solutions and resolve issuesWaste management and disposal processProvide support to Outside Sales RepsProvide bulk product processingProcess inter-Branch transfer of productsOperate a forkliftShippingReceivingAssist on the Will-Call counter as neededPicking, packing and pulling ordersCycle countingStorage of flammable coatings and hazardous materialsEquipment and container repairAssist with loading and unloading trucksPerform housekeeping duties within your work area maintaining a clean and safe working environment Non-Essential Job FunctionsMust assist others and perform additional tasks as directed by the Operations Manager. Skills/QualificationsBe familiar with basic warehouse and distribution processesKnowledge of UPS shipping systems and Rate Postage machine, calculatorMust have the ability to safety operate a forklift and other related equipmentBe familiar with warehouse equipment and machineryKnowledge of shipping, receiving, cycle counting and inventory managementPrioritization, Organization, and Execution — ability to multi-task in. a stressful, fast paced working environmentAttention to DetailKnowledge of spray guns and mixing equipmentKnowledge of CalOSHA and OSHA hazardous materials regulationsMust have the ability to interpret and follow through on directions given by the Operations Manager. QualificationsTo perform this job successfully, an individual must be able to perform each essential job function satisfactorily. The requirements listed in this job description are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with qualified disabilities to perform the essential functions of the job. RequirementsHigh School or GEDBasic computer skillsA complete of knowledge of hazardous materials regulationsAbility to be certified as a forklift operator1-3 years of warehouse experience working with paints and coatings within a distribution environment. Physical DemandsRequires the ability to walk, stand, carry materials, stoop, kneel, bend at the waist, reach overhead and climb ladders and/or on and off of equipmentExposure to moving mechanical parts, machinery, fumes, airborne particles, dirt, dust and chemical fumesMay require sitting and/or standing for long periods of timeWill be required to lift up to 50 lbs on a regular basis Working EnvironmentAll work is performed within a manufacturing and warehouse environment;Exposure to moving mechanical parts, machinery, fumes, airborne particles, dirt, dust and chemical fumes;The noise level in the work environment is usually moderate to loud and may require hearing protection.Safety shoes, back support and eye protection are also required.Temperature environment range is approximately 30°F to 110°F. SummaryThis position description identifies the key responsibilities, expectations of performance, qualifications and work environment as outlined in the contents.  It is neither intended nor possible to list all tasks and variables the employee may be required to perform or conditions the employee may be subject to.  Employees are expected to follow any and all job related duties and responsibilities, as may be reasonable assigned by management.As an Equal Opportunity Employer, E.B. Bradley, Co. is committed to a diverse workforce.",,0
"GB, LND, London",Front-End Developer (AngularJS),,"Co-founded by Skype’s first employee and backed by some of the planet's most experienced innovators, including Sir Richard Branson &amp; Facebook's first investor Peter Thiel, we're disrupting the world of currency &amp; international money transfer. That means flipping a gazillion dollar industry on its head and taking power away from banks and the establishment.Located in the heart of Old Street, we’re right at the hub of London’s startup scene, we’re growing at an extraordinary rate and looking for exceptional talent to jump on board.We’re currently 100 people strong and handling many millions of pounds daily.If you’re looking for a stuffy financial company, the back button beckons, if you want to be part of something innovative and truly exciting, read on.","We're looking for front end developers to work in our virality team.We believe that growth comes from delivering an incredible experience to our customers.  Our customers market us best - and we actively invest in delighting them and encouraging them to advocate our product and services.  This drives growth directly through “word of mouth” marketing and our industry leading ""refer a friend"" program.  We are looking for developers that would develop and deploy features within our virality team: responsible for growing our customer base through “word of mouth” and referral marketing. Within the team you’ll be completely empowered to deliver a step change in our viral growth rates.We’re looking for someone who’s more at home making browsers dance than fiddling with DB queries. If you can build pixel-perfect UIs, know your way around JavaScript and speak JSON, click below to apply. Experience with modern JS frameworks gets us really excited, and you're pretty much hired if you love Angular and it loves you back.We're looking for somebody to:Build elegant web pages using the holy trinity of HTML, CSS and JavaScriptKnow their way around mixpanel and analyticsKnows how to hack relevant APIs into a building compelling front ends (e.g. Facebook)Lay the groundwork for solid, sustainable developmentIs this for you?First and foremost, a brilliant developer.  Someone who takes their craft seriously and takes pride in their workYou’re experienced building interfaces with HTML, CSS, JavaScript and JSON.You know your way around Javascript frameworks (Angular (we’re fans !), Ember and their offspring)You have a strong sense of good UX and the ability to make pixel perfect interfaces.Strong knowledge of web standards, CSS-based design, cross-browser compatibilityEnglish as a working languageAlways a plus:No fear of server-side programmingJava/Grails experienceStrong communication skills","Apart from all-expenses-paid company holidays twice a year (which are completely insane)  stock options in one of Europe’s most hotly tipped startups, a sexy laptop of your choice and team lunches every Friday, you won’t get much in the way of extras. However, we will give you 25 days holiday a year (plus public holidays), a fun, friendly atmosphere, plenty of opportunities to grow and the chance to be part of our little revolution. Oh, and coffee, there’s plenty of coffee.#LDN",0
"US, VA, Hampton",Now Hiring Inbound Sales Representatives,0.0,"Grow your career in an Entry Level Call Center Sales OpportunityAre you ready to start your sales career with a growing organization in a call center sales and customer service role, and then consider joining our growing inbound team at IBEX Global!IBEX Global is rapidly growing and we’re looking to quickly ramp up our Call Center Customer Sales &amp; Service Representative positions that will be responsible for taking inbound calls from clients, selling telecommunications products and servicesAt IBEX Global we’ve been delivering superior customer services for over 10 years, as a business process outsourcer offering an integrated suite of services that supports an expansive array of client facing solutions. Representatives are responsible for generating sales of telecommunications products in an inbound sales center.In this role you will be responsible for fielding inbound calls from customers providing quality support , making sales offers on every transaction and suggestive selling telecommunication products and services based on customer’s needs.","RequirementsAs a Customer Service Sales Representative you should be driven to succeed and exceed customer service and sales goals. In this role you should have strong interpersonal communication skills with a confident and outgoing personality.• Generating sales for our client’s services and products and representing IBEX Global and its clients with theutmost integrity and professionalism• Providing exceptional service and maintaining established acceptance rating on quality monitoring tests• Resolving customer concerns immediately and effectively, displaying professionalism and courtesy at all times• Having full knowledge of features and benefits of products and services; quickly and correctly answering product questions seeking to stay informed of program changes• Attending and actively participating in all required training programs; showing eagerness and capacity to learn new products and programs.• 1 year of sales experience STRONGLY preferred• Proficient in computer skills• Excellent verbal and written communication skills• Ability to utilize basic math computation skills, preferred• Background and Drug screen required.","Benefits:We offer our employees the following comprehensive benefits plan:• Medical, Dental and Vision Insurance• 401(k) with company match• Paid Time Off• Paid professional training• Career Advancement",0
"US, OR, Portland",Full-Time Caregiver for Hip Young Man,,"Are you fun and energetic? Do you want to make a difference every day? Then United Cerebral Palsy might have the perfect job for you.We are seeking a caregiver (""Personal Assistant"") for a hip young man who experiences developmental disabilities. He lives in the home of his very supportive parents in the Irvington neighborhood of NE Portland.He is someone who enjoys being active, so you will have a busy schedule of exploring volunteer options, checking out local farmers’ markets, and attending concerts. He has his own wheelchair-accessible van, which you will drive. You’ll also assist him with his social life by assisting him to communicate, including helping him use his communication device, make phone calls, and text his friends.At home, you will assist with tasks like getting out of bed and showering, but he has an electronic lift. You will be able to sleep at night, but will have to get up at least once if he needs you.You will also provide life coaching and emotional support, by assisting him to deal with his anxiety and chronic pain, and helping him explore his college and work goals.HOURS:9am on Friday through 9am on Saturday.5pm on Sunday through 1pm on Monday.Your regular hours on agency holidays.","Be able to drive his van, which requires that you be at least 21 years old (a requirement of our auto insurance program), and possess a valid driver’s license and good driving record.High school diploma or GED.Must pass a physical with a lifting test of 75lbs, drug screen, reference check, and criminal history background check.Experience in developmental disability field preferred but not required.","$9.47/hour, 5% increase to $9.95/hour after successful 90-day Trial Service Period.Eligible for medical benefits for employee, spouse/domestic partner and dependents.Paid time off.Fun and casual environment, with lots of paid training.",0
"US, CA, San Francisco",Senior .Net/C# Developer with Investment Banking / Trading Exp,,"Experience &amp; EducationBachelor's Degree in Computer Science, Engineering, or related field7+ years development experience5+ years of experience with #URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a# MVC and or WPF5+ years of experience #URL_fadf48f4b2484b1f6585200db492b20847728a2da437514d822a51a3c26e1383# framework 4.0 or higherBachelor's Degree or a minimum of 7 years’ experience in DevelopmentMinimum of 5 years SQL Server Database experienceDeep experience in Financial Services and financial application development experienceTrading systems front and back office experienceExperience in SQL Server 2005/2008/2012 developmentExperience writing multi-threaded applicationsMicrosoft Certified",,,0
"US, TX, FORT WORTH",FILE DRIVER,2500.0," Location: FORT WORTH,TXJob Summary:The employee's Number One Job responsibility is to deliver the most remarkable Customer experience, in every dimension, every time, and understand how he or she contributes to the Novation system’s vision of achieving that commitment to clients and guest. The Van Driver is responsible for transporting clients safely to and from various locations, delivering inportant files to other local sites. This employee assures maintenance of facility vehicles in a safe and clean operating condition.Company Vehicle will be uses , gas card this position will require extensive background check and drug test.","Qualifications:Education: High School Diploma required.Licensure/certification/registration: Current driver's license in appropriate state and safe driving record required.Additional skills required: Must be able to read, write and communicate effectively in English.","Compensation:• Salary 23,000-28,000 annually • TMRS Retirement Plan • Vacation, Sick and Holiday leave Benefits • Medical, Dental and Vision Benefits",1
"DE, BY, Munich",Technical Support Engineer (m/f),,"As a neutral technology provider, the company offers an integrated platform for tracking and 360 degree optimization of all online marketing activities. With it’s Multichannel Tracking, the performance of channels such as search engine advertising, SEO, social media, display advertising, direct traffic, price comparison engines, newsletters, affiliate marketing, TV and telephone can be measured and the customer journey can be evaluated on a cross-channel basis. In combination with the highly effective bid management, agencies and advertisers can sustainably boost the performance of their online campaigns and efficiently allocate their entire advertising budget. Renowned companies such as Air Berlin and O2 rely on the service. In July 2012, the company became a Deutsche Post DHL company.You will primarily attend to the in-house IT systems and additionally support the Technical Support Team when troubleshooting the Linux servers of the computing centre or developing bug fixes and adjustments to our web software.Your tasksInstalling and configuring Windows client systemsManaging and advancing the system environment with Active Directory, Exchange and other collaboration softwareAdministering the in-house IP network including the IP telephone systemDrawing up the inventory of hard and softwareSupporting the employees with hardware and software problemsAssisting the Support Team when troubleshooting in the area of application development and/or Linux","Your profileGood knowledge of Windows client and server administrationSolid computer hardware and network technology skillsInitial experience in managing Linux systems or knowledge of developing web applications using PHP, MySQL and JavaScriptYou work independently in pursuit of specific goals and are very trustworthyYou are committed, keen to learn, work well in a team and have a friendly personality","We offerA young, motivated and pleasant teamAn innovative, creative working environment with space for new ideas and drivePerformance-based compensation with many fringe benefitsA modern workspace in the heart of Munich",0
"US, CA, LOS ANGELES",Administrative Assistant,1000.0,We seek to hire a full time Administrative assistant for our new office to Assists management staff by performing administrative dutiesAdministrative Assistant. DUTIES INCLUDE: ·         Entering customer information ·         Invoicing ·         Payroll &amp; Managing Emp. Files ·         Entering expense reports. ·         Creating and maintaining reports in MS Excel and Word ·         Managing a multi-line telephone system ·         Supporting management with the day-to-day business needs ,"POSITION REQUIRES: ·         Excellent communication, follow up, interpersonal skills ·         Organizational skills with attention to detail and accuracy in a fast-paced environment ·         Self-starter with a willingness to learn. ·         Intermediate knowledge of MS Word and Excel. ·         Excellent decision making skills ·         Ability to multitask, a must ·         SAP Experience a Plus! Interested Applicant's should have a copy of their resume forwarded for consideration.",,1
"US, TX, Houston",Offshore Wellhead Technician,,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions Houston (ASH) is established for the purpose of creating value for clients and owners by providing superior customer service to operators within the oil and gas industry. Superior customer service will be achieved through continual improvement, leadership involvement, demonstration of initiative, proactive anticipation of client demands, diligent attention to detail, and an effective HSE program designed to identify, report, and prevent unwanted conditions. ASA shall be a good corporate citizen acting in line with the interests of the US Authorities and the general public.Responsibilities and tasksObjectives:Ensure the preparation, planning and execution of operations to be performed either by Aker Solutions Houston or by subcontracted staff in the offshore team.Responsibilities/Activities:Operations:• Organise and perform offshore operations on-site.• Ensure that all maintenance and repair on facilities and equipment is carried out safely, efficiently and in full compliance with company operating procedures and statutory laws so that they remain in perfect and safe working conditions.• Review and maintain installation procedures.• Carry out other activities as designated by the line manager.• Conduct any activity within the scope of the post holder’s competences.• In the event of a system failure, take charge of systems for which the post holder is responsible until normal operation is restored.Team Coordination:• Work with the team to assist specialized staff working offshore.• Manage and participate in the installation of equipment delivered by Aker Solutions Houston.• Coordinate all team employees, including sub-suppliers, where appropriate.• Be present at shift-change meetings.• Maintain good customer communication.• Ensure daily communications with Onshore Operations.• Manage the team of technicians for which the post holder is responsible.Administrative Activities:• Write reports in accordance with the procedure reports.• Record offshore activities on the applicable form, including the completion of the following forms as needed: Meeting report &amp; Incident report.• Update and archive all reports in binders provided by Aker Solutions Congo Onshore Support (to be delivered to Aker Solutions Houston once the installation is concluded).• Ensure that time sheets are signed by the customer before team members leave the platform.• Ensure that overtime has been authorised by the customer and recorded on the time sheets.• Establish a convenient time with the customer for trainees to work offshore (this should be coordinated with the line manager).Qualifications &amp; personal attributes• Vocational training as a minimum. • 5 to 10 years’ offshore work experience.• Fluent in English and knowledge of French would be an advantage• User-level IT skills.","Specific Skills:• Understanding of the equipment system.• Knowledge of customer-focused documentation.• Very good knowledge of machine maintenance.• Knowledge of oil and gas processing.• Extensive knowledge of the equipment used in oil and gas processing facilities.Attitudes and Behaviours:• Capable of initiative, flexibility and cooperation.• Ethics and professionalism.• Personal discipline and work organisation skills.• Very good capacity for interpersonal relationships.• Strong sense of responsibility.• Able to anticipate problems and take appropriate preventive measures.• Strong critical and analytical thinking skills.• Rigorous and methodical approach to work.",We offer • Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,1
"GB, WSM, London",Junior Client Engineer,3500.0,"Qubit: Cutting Edge Big Data EngineeringQubit's London office is growing. We need a Graduate Engineer to join our client project team. You’ll get to work on major client websites like John Lewis, Asda and Topshop, helping their digital teams make sense of the Big Data era.This is an exciting opportunity for a new graduate or someone in the early stages of their career. You’ll be joining a team packed with top technical talent who are more than happy to help with your development. Qubit is experiencing a great period of growth, and this is a chance to join the team early.What you’ll be doingBuilding and adding functionality to the sites of everyone from startups to FTSE100 companies in JavaScript, HTML and CSSUtilising Qubit’s rich API platform to personalise customer experiences for our clientsDesigning, developing and implementing Qubit’s JavaScript tag solutions, which are served to more than 1 billion monthly page impressions!Developing A/B and multivariate website tests in JavaScript for our client project teamEngaging with our clients to understand their systems and data architecture, in order to deliver the best user experience","What You'll NeedBy submitting your application you understand that Qubit will store your data in accordance with local lawsProficiency with JavaScript, you will be need to be able to hand code a website from scratch using JavaScript, HTML and CSSSome knowledge of JQuery would be very helpfulGood AJAX, CSS, HTML skillsA strong communicator who is able to deal with clients in everyday and technical termsBe highly proactive and creative in your solutions and passionate about tech and codingFluent in English and with the authorization to work in the UK","Plenty of perksAs well as the opportunity to solve complex problems in this exciting new era of big data, here’s what we offer:Realistic performance related bonusesGenerous equity options mean you’ll own a piece of the pieExcellent health and dental insurance packagesA relaxed approach to time off and enough holidays to see several corners of the worldFridge fully stocked with healthy snacks and the ultimate espresso machine for your java fixA competitive office where we play foosball, football, scrabble, go-karting… you name it, we’ll play itThank Qubit it’s Friday – we have lots of creative ways to let off steam at the end of the weekPlenty of opportunities for training and development",0
"IE, , Dublin",Software Engineer (Product),,"About the jobThe product engineering team are responsible for building features, improving existing features, experimenting, maintaining product quality, and improving product performance. You'll join a very experienced and talented team of other engineers (ex Google, Amazon, Facebook, Apple, Yammer). Our focus is on shipping quality product fast, with a strong bias for simplicity and appreciation for good software craftmanship. Our entire product team is colocated in Dublin, so you'll own the most important and challenging projects for our business, and work face to face with all the people you need to succeed. To be a good fit, you should:think big and boldenjoy moving fast (we continuously deploy to production, in minutes, dozens of times a day)obsess about our product and the challenges our customers faceobsess about the quality of the work you producesweat the little details, and be self motivated to spot ways to improve what you're producing, not relying on others to do sobe proud of what you work on and what you shipIntercom is a great place to work. We care about people (you, our customers, our team mates), not resources or budgets, or rules. Technologies we use todayWe mostly use Ruby/Rails, java, ember, storing data in MySQL, MongoDB, Redis, Solr, StatsD and Graphite. We make extensive use of AWS, including EC2/VPC/ELB/AutoScaling/S3/SQS/RDS/ElasticCache/Cloudfront - automated using an internally developed tool that manages our continuous deployment.Experience in our day to day toolset is a plus but is, by no means, a requirement. Good people will adjust quickly and have fun learning something new or helping us learn something new.Types of people we're interested inOut and out front-end engineers: love Javascript/CSS, write it well, obsess about details/interactions/delighting usersServer side engineers, who obsess about writing clean/maintainable code, and enjoy worrying about scale, availability, and designiOS and Android engineers: You are hell-bent on delivering amazing native experiencesGeneralists who are happy to and enjoy working on everything from infrastructure to cssSchool or college grads who want to take an awesome first step in their career and be surrounded by passionate, experienced peopleThe type of projects you could work onAt Intercom, we'll challenge and support you to do the best work of your career. Some examples of the types of projects you could work on:Design and implement new ways to visualize the huge amounts of data collected by Intercom, to provide actionable insight to business ownersImplement a system to help business owners Multi-variate test their messages. (Intercom sends millions of these messages every month)Building mobile apps so users can experience the magic of Intercom outside the browserSpend every waking hour improving/obsessing/iterating on Intercom's message composer, to make it the most beautiful, simple, easy to use / powerful way to communicate with your usersTake charge of ensuring our API gives people the most powerful and complete access to their data within Intercom, and facilitate growth of our wide ecosystem of integrations and clients. (Our API is hit millions of times daily)About IntercomIntercom (#URL_cb674f93cbcd215a3a0a57a8615a565545949eead8adbbc73307c26d6a6af81b#) is a simple, personal messaging service for businesses and their customers. It provides a single, integrated platform for the whole company to use for support, marketing, product, sales communication and more.We’re on a mission to make web and mobile business personal. We believe that the future of customer communication requires not increasingly complex, impersonal point solutions, but rather a simple, seamless platform that applies innovations found in consumer services like Facebook and WhatsApp.Founded in late 2011, Intercom has raised over $30 million in venture capital and is backed by leading investors, The Social+Capital Partnership and Bessemer Venture Partners. Intercom has been adopted by thousands of businesses, including Heroku, Hootsuite, Rackspace, Yahoo! and Perfect Audience. Our customers love the product: #URL_18cc302f4e0f1dac521853b2a6ae109ebbe44c6130d31eb0413535ba71e2f42f#We like big thinkers with small egos who believe in our goal to build a uniquely impactful, long-lasting tech company. Our vision is to fundamentally change forever how Internet businesses and their customers communicate.",,"Competitive salaryEquity in a fast growing startupThe opportunity to work with and learn from a fantastic teamFree breakfast, lunch, dinner and snacks, everydayPublic transport paid forHealthcare",0
"US, OH, Groveport",Software Development engineer,,"Position:  Software Development EngineerLocation: Groveport, OHDuration:  6+ months Contract to Hire Skills:Java J2EEAgileJSPJBDCWeb servicesOracleSOAHibernateiBatis Major Responsibilities include :Works collaboratively with technical and business team members to develop and maintain business solutions following Agile development principles and practicesIs influential and engages actively in building out a dynamic and productive development organization and continuously improving practices and methodologyDesigns and develops applications with an eye towards simplicity, reliability, manageability, scalability, extensibility, performance and re-useProvides technical expertise in the areas of architecture, design, implementation, and testingSets and adheres to software coding and style guides to ensure consistencyParticipates in pairing and code reviewsSupport (2nd level) and troubleshoot problems with existing applicationsMentors and guides others who are still developing their skills                        ","Minimum Qualifications include:A minimum of 7 years software development experience, 5 years of which are Java/J2ee specific, is requiredSelf-motivated team player who excels in a collaborative environmentEcommerce experience is a must.Hands on experience with Agile methodologies.Strong sense of personal accountability; contributes beyond job role and responsibilitiesExcellent problem solving skills; meticulous &amp; methodicalAbility to learn and apply new technologies quickly and self-directedProven ability to translate complex business requirements into simple software solutionsPassionate about continuously improving organizational practicesThorough understanding of Object Oriented principles (Analysis and Design)Candidates must have a robust understanding of Java and an in-depth understanding of other Java technologies, including Servlets, Struts/Tiles, JSP, JDBC, JMS, SpringFamiliarity with front-end technologies – Object-Oriented Javascript, AJAX, XHTML, HTML, XML/DOMFull lifecycle development experience on large projects, creating distributed and scalable business systems.Experience with WebServices (REST, SOAP, XML-RPC, etc)Experience with relational databases and data access (JDBC/DAO/SQL) Oracle strongly preferred.Familiarity with ORM technologies (iBatis, Hibernate)Mentor and guide others who are still developing their skills Desired Qualifications includeFamiliarity with EAI patterns, queuing systems (e.g. MQ Series, JMS, etc.) and business process orchestration (e.g. BPEL), workflow automation systems, etc.Familiarity with RubyExperience with test automation frameworksExperience in developing and driving SOA strategies within large enterprises and deploying SOA implementations to production a big plus",,1
"GB, LND, London",Growth Analyst ,,"TransferWise is the clever new way to move money between countries. Co-founded by Skype’s first employee and backed by some of planet's most experienced innovators, including Sir Richard Branson and PayPal founder Peter Thiel, we're disrupting the world of currency &amp; international money transfer. That means flipping a gazillion dollar industry on its head and taking power away from banks and the establishment.Based in Old Street, the hub of London’s start up scene, we’re growing at an extraordinary rate and looking for exceptional talent to jump on board. We’re currently just over 200 people strong and handling many millions of pounds daily.We’re looking for a data rock-star, who's in their element when working with some of the most complex data on the web. You’ll be joining a small team that’s helping to make sense of all the marketing, product and business data we’re amassing at an alarming rate. It's truly a cross-functional role, with lots of diverse projects to work on and a great opportunity to shine like the data star that you are.","So, what’s the role?Essentially, the role is to help the whole business understand how we are performing, what our customers do, what our customers think, and how we can make their lives better.You’ll focus on automating data processing, reporting and ensuring data from source-to-report is reliable, understandable and consumable. You’ll work closely with stakeholders to build new data sources, reports and analytic dashboards and be the first point of contact for questions about data, company-wide.You’ll also utilise your supreme SQL and Excel skills to quickly bring insight to a wide variety of topics and communicate with people in all areas of the business. You’ll need to make technical decisions and work out how to automate so you can focus on the fun stuff and design reports and dashboards that will make people’s working lives a data-rich joy.What skills do I need?Proven track record in reporting and analytics role, with strong examples of having made a real difference, proactivelyStrong SQL and Excel (Pivot tables, VBA) knowledgeA superstar with visualisation and presenting data in a way that makes people go ""damn, that’s beautiful"".Strong Business Intelligence (BI) experience as a power user; ideally Tableau or similar emerging generation of BI toolsExperience in customer segmentation across widely varied customer basesYou know how to do cohort analysis and think in lifetime value termsSolid commercial skills and business awarenessStrong communicator written and verballyExperience with A/B testing or MVT and working with product analytics packages to spot trends and opportunities in user behaviourKnowledge of Google Analytics, R. SAS and mathematical modelling techniques such as Regression or CHAID (bonus!)A self-starter who’s comfortable working autonomously","Apart from a competitive salary and all-expenses-paid company holidays twice a year (which are completely insane) stock options in one of Europe’s most hotly tipped startups, a sexy laptop of your choice and team lunches every Friday, you won’t get much in the way of extras. However, we will give you 25 days holiday a year (plus public holidays), a fun, friendly atmosphere, plenty of opportunities to grow and the chance to be part of our little revolution. Oh, and coffee, there’s plenty of coffee.",0
"US, NC, Charlotte ",Full-time Administrative Assistant.,0.0,"Aesculap Healthcare Company is seeking for a full-time Administrative Assistant.The candidate must be professional, punctual, and self-sufficient with effective organizational and administrative skills. An ideal candidate should have the ability to work independently, strong multi- task abilities and willing to take on more tasks if needed.We are seeking individuals with a positive, upbeat attitude and a friendly personality. Duties will include, but not limited to: scanning and attached PDF documents, data entry, faxing, answering phones, and providing various support roles to administrative personnel.","Requirements:-    Excellent oral and written communication skills-    Must be punctual and reliable-    Proficient in MS Office/Word/Excel-    Extremely detail oriented, organized, and a self-starter",You would be eligible to Benefits after 1months of working with company Benefits offered are Health Insurance / Vacations / Bonuses ,1
"AU, NSW, Sydney",Position Admin Assistant,3000.0,"We require an experienced Admin Assistant with great attention to detail to work in our Admin Department, reporting to the Managing Director.*General administrative support and correspondence *Answering phones, setting appointments, answering inquiries, coordinating orders *Collecting and posting mail *Filing documents *Responsible for office stationary and office equipment orders",• Excellent time management &amp; superb presentation skills • Good communication skills both written and verbal and ability to work under pressure and meet deadlines • A good working knowledge of MS Office &amp; MYOB applications • Attention to detail and ability to multi task • A proactive approach and willingness to succeed • Ability to work autonomously and also be a team player • Interest in computers &amp; IT related fields would be an advantage,Part Time – 15 to 20 hours per week – you choose the days / time Very FlexibleWe will provide full training on company systems.,1
